"VPID","BNF","ATC","DDD","DDD_UOMCD"
"39671911000001102","","V10XA01","",""
"39672211000001104","","V10XA01","",""
"39672511000001101","","V10XA01","",""
"39673211000001105","","V10XA01","",""
"39673311000001102","","V10XA01","",""
"39674011000001103","","V10XA01","",""
"39674611000001105","","V10XA01","",""
"39735411000001103","","A12CC04","2","258682000"
"39735611000001100","","C01EB09","",""
"39658111000001106","","","",""
"39657711000001106","","","",""
"39658211000001100","","","",""
"39657811000001103","","","",""
"39657911000001108","","N05CM18","",""
"39658411000001101","","N02BE01","",""
"39658011000001105","","","",""
"39658311000001108","","C01CA09","",""
"39643011000001101","","N01AX14","",""
"39643111000001100","","","",""
"39642911000001109","","R05CB01","500","258684004"
"39609011000001106","","H02CA02","",""
"39609111000001107","","H02CA02","",""
"39608911000001102","","H02CA02","",""
"39608811000001107","","R06AD01","30","258684004"
"39609211000001101","","B01AF01","20","258684004"
"39596511000001103","","M09AX09","",""
"39596611000001104","","M09AX09","",""
"39596711000001108","","M09AX09","",""
"39593211000001108","","M09AX09","",""
"39597111000001105","","M09AX09","",""
"39597211000001104","","M09AX09","",""
"39594411000001105","","M09AX09","",""
"39597311000001107","","M09AX09","",""
"39597511000001101","","M09AX09","",""
"39595611000001109","","M09AX09","",""
"39597611000001102","","M09AX09","",""
"39597811000001103","","M09AX09","",""
"39599911000001101","","M09AX09","",""
"39600611000001105","","M09AX09","",""
"39600711000001101","","M09AX09","",""
"39601511000001104","","M09AX09","",""
"39601411000001103","","M09AX09","",""
"39597911000001108","","M09AX09","",""
"39598011000001105","","M09AX09","",""
"39598311000001108","","M09AX09","",""
"39598511000001102","","M09AX09","",""
"39598411000001101","","M09AX09","",""
"39598711000001107","","M09AX09","",""
"39598811000001104","","M09AX09","",""
"39599011000001100","","M09AX09","",""
"39599111000001104","","M09AX09","",""
"39599311000001102","","M09AX09","",""
"39599411000001109","","M09AX09","",""
"39599511000001108","","M09AX09","",""
"39599611000001107","","M09AX09","",""
"39599711000001103","","M09AX09","",""
"39599811000001106","","M09AX09","",""
"39592511000001104","","M09AX09","",""
"39592611000001100","","M09AX09","",""
"39592811000001101","","M09AX09","",""
"39596311000001109","","M09AX09","",""
"39596411000001102","","M09AX09","",""
"39601711000001109","","J01GB06","",""
"39601811000001101","","G03CA01","25","258685003"
"39574711000001108","","N05CD08","15","258684004"
"39574811000001100","","M09AX10","",""
"39565511000001107","","B01AC21","",""
"39565611000001106","","B01AC21","",""
"39564911000001104","","V03AB23","",""
"39565211000001109","","V09EB01","",""
"39565011000001104","","C03BA04","25","258684004"
"39565311000001101","","B05BB02","",""
"39565111000001103","","V09GA01","",""
"39565411000001108","","B05BB02","",""
"39565711000001102","","","",""
"39524111000001108","","","",""
"39523811000001104","","B06AC05","",""
"39524011000001107","","L04AC10","10","258684004"
"39523911000001109","","J06BA01","",""
"39494911000001105","","J07CA12","",""
"39495711000001107","","","",""
"39495811000001104","","","",""
"39494711000001108","","C10AX14","5.4","258684004"
"39495911000001109","","","",""
"39494811000001100","","N07BC01","",""
"39495111000001106","","C10AX16","",""
"39495511000001102","","B05BB02","",""
"39495211000001100","","B05BB01","",""
"39495311000001108","","B05BB01","",""
"39495411000001101","","B05BB01","",""
"39495611000001103","","B05BB01","",""
"39496011000001101","","L01AC01","",""
"39495011000001105","","","",""
"39488411000001107","","V09GA06","",""
"39488311000001100","","L04AA43","",""
"39488211000001108","","L04AA43","",""
"39488111000001102","","V09CA01","",""
"39488511000001106","","L01XC41","",""
"39487911000001100","","V09CA03","",""
"39488011000001103","","L01CD04","",""
"39478111000001106","","V09HA03","",""
"39478411000001101","","V09BA01","",""
"39478311000001108","","","",""
"39463211000001102","","V10BX02","",""
"39463611000001100","","V10BX02","",""
"39464011000001109","","V10BX02","",""
"39464811000001103","","V10BX02","",""
"39464911000001108","","V10BX02","",""
"39465311000001106","","V10BX02","",""
"39465711000001105","","V10BX02","",""
"39466111000001103","","V10BX02","",""
"39466811000001105","","V10BX02","",""
"39467211000001106","","V10BX02","",""
"39467611000001108","","V10BX02","",""
"39468011000001100","","V10BX02","",""
"39468411000001109","","V10BX02","",""
"39478211000001100","14040000","","",""
"39461511000001103","","V10BX02","",""
"39461611000001104","","V10BX02","",""
"39462211000001108","","V10BX02","",""
"39462311000001100","","V10BX02","",""
"39462411000001107","","V10BX02","",""
"39462511000001106","","V10BX02","",""
"39462611000001105","","V10BX02","",""
"39462711000001101","","V10BX02","",""
"39462911000001104","","B05XA03","",""
"39462811000001109","","B05XA03","",""
"39461711000001108","","B02BX05","",""
"39461411000001102","","A10BA02","2","258682000"
"374506002","","G03XA01","600","258684004"
"39417911000001103","","V09AB03","",""
"39418011000001101","","V09AB03","",""
"39417611000001109","","R05CB03","1.5","258682000"
"39418211000001106","","L03AB13","",""
"39417811000001108","","","",""
"39418311000001103","","A07EB01","800","258684004"
"39418111000001100","","G02AD06","",""
"769817000","","J01CA04","1.5","258682000"
"39417711000001100","","J05AJ03","",""
"39405711000001109","","B05BB02","",""
"39405811000001101","","B05BB02","",""
"39405911000001106","","B05BB02","",""
"39405311000001105","","J01GB03","",""
"39405411000001103","","J01GB03","",""
"39405511000001104","","J01GB03","",""
"39405611000001100","","L01EA01","",""
